id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,country_id,state_id,region_id,location_tour32,status,cid_primarix,id_primarix
673,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pans,5,,73,1353,in review,,
674,MalaMala Game Reserve,MalaMala Game Reserve,MalaMala Game Reserve,MalaMala Game Reserve,37,,64,2092,active,,
675,Male,Male,Male,Male,50,,,1360,active,,
676,Maleny,Maleny,Maleny,Maleny,186,63,130,1363,active,,
677,,Maligne Lake,,,182,,,,active,,121589
678,Malolo Island,Malolo Island,Malolo Island,Malolo Island,191,38,76,1370,active,,
679,Malolo Lai Lai Island,Malolo Lai Lai Island,Malolo Lai Lai Island,Malolo Lai Lai Island,191,38,76,1370,active,,
680,Mamanucas,Mamanucas,Mamanucas,Mamanucas,191,,76,1370,active,,
681,Mana Island,Mana Island,Mana Island,Mana Island,191,38,76,1370,active,,
682,Mana Pools,Mana Pools,Mana Pools,Mana Pools,46,,,1372,active,,
683,Mana Pools Nationalpark,Mana Pools Nationalpark,Mana Pools Nationalpark,Mana Pools Nationalpark,46,,168,1372,active,,
684,Manase,Manase,Manase,Manase,200,73,,2190,active,,
685,Manaus,Manaus,Manaus,Manaus,171,,15,1375,active,,37128
686,Mancora,Mancora,Mancora,Mancora,178,,93,1377,active,,
687,,Mandalay,,,70,,,,active,,57735
688,Mangaia,Mangaia,Mangaia,Mangaia,190,39,77,1381,active,,
689,Mangere,Mangere,Mangere,Mangere,,,,,active,,
690,Mangere / Airport Oaks,Mangere / Airport Oaks,Mangere / Airport Oaks,Mangere / Airport Oaks,188,,,,active,,
691,"Mangere, Auckland","Mangere, Auckland","Mangere, Auckland","Mangere, Auckland",188,,,112,active,,
692,Mangonui,Mangonui,Mangonui,Mangonui,188,51,99,568,active,,
693,Manihi,Manihi,Manihi,Manihi,192,,,,active,,
694,Maninoa,Maninoa,Maninoa,Maninoa,200,92,,2510,active,,
695,Mannum,Mannum,Mannum,Mannum,186,77,131,,active,,
696,Manuel Antonio NP,Manuel Antonio NP,Manuel Antonio NP,Manuel Antonio NP,161,,,,active,,
697,Manyoni Private Game Reserve,Manyoni Private Game Reserve,Manyoni Private Game Reserve,Manyoni Private Game Reserve,37,33,169,883,active,,
698,Mapua,Mapua,Mapua,Mapua,188,81,1,6,active,,
699,Mapua bei Nelson,Mapua bei Nelson,Mapua bei Nelson,Mapua bei Nelson,188,81,1,1647,active,,
700,Mapua Village,Mapua Village,Mapua Village,Mapua Village,188,81,1,6,active,,
701,,Maputo,,Maputo,27,,,,active,,101912
702,Marahau Beach,Marahau Beach,Marahau Beach,Marahau Beach,188,81,1,6,active,,
703,Marakele Nationalpark,Marakele Nationalpark,Marakele Nationalpark,Marakele Nationalpark,37,,97,1395,active,,
704,Mare à Vieille Place,Mare à Vieille Place,Mare à Vieille Place,Mare à Vieille Place,49,,,2111,active,,
705,Margaret River,Margaret River,Margaret River,Margaret River,186,98,142,1402,active,,121338
706,"Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach",186,98,142,1402,active,,
707,Mariental,Mariental,Mariental,Mariental,28,,52,1404,active,,
708,Marina del Rey/Los Angeles,Marina del Rey/Los Angeles,Marina del Rey/Los Angeles,Marina del Rey/Los Angeles,184,31,,,active,,
709,,Maroantsetra,,,22,,,,active,,119536
710,Marondera,Marondera,Marondera,Marondera,46,,,,active,,
711,Martinborough,Martinborough,Martinborough,Martinborough,188,51,159,1413,active,,
712,Martintar,Martintar,Martintar,Martintar,191,46,,,active,,
713,Mary River Conservation Reserve,Mary River Conservation Reserve,Mary River Conservation Reserve,Mary River Conservation Reserve,186,55,149,,active,,
714,Maryvale,Maryvale,Maryvale,Maryvale,186,63,130,,active,,
715,Masai Mara,Masai Mara,Masai Mara,Masai Mara,17,,,1420,active,,3532
716,Mascot,Mascot,Mascot,Mascot,186,49,,,active,,
717,Masoala,Masoala,Masoala,Masoala,22,,,1424,active,,
718,Masterton,Masterton,Masterton,Masterton,188,51,159,1425,active,,
719,Matamanoa Island,Matamanoa Island,Matamanoa Island,Matamanoa Island,191,38,76,1370,active,,
720,Matamata,Matamata,Matamata,Matamata,188,,,,active,,121802
721,Matangi Island,Matangi Island,Matangi Island,Matangi Island,191,41,125,1433,active,,
722,Mataranka,Mataranka,Mataranka,Mataranka,186,55,149,,active,,
723,Matatufu,Matatufu,Matatufu,Matatufu,200,92,,2510,active,,
724,Matavera District,Matavera District,Matavera District,Matavera District,190,66,117,2029,active,,
725,Maun,Maun,Maun,Maun,5,,124,1447,active,,3524
726,Maun Airport (Avis Office),Maun Airport (Avis Office),Maun Airport (Avis Office),Maun Airport (Avis Office),5,,,,active,,
727,,Mauritius,Mauritius,,51,,,,in review,,51839
728,McLaren Flat,McLaren Flat,McLaren Flat,McLaren Flat,186,77,131,1456,active,,
729,,Medan,,,60,,,,active,,57739
730,,Medellin,,Medellin,176,,,,active,,37989
731,"Medellín, Antioquia","Medellín, Antioquia","Medellín, Antioquia","Medellín, Antioquia",176,,81,1460,active,,
732,Melbourne,Melbourne,Melbourne,Melbourne,186,95,134,1466,active,,3334
733,Melbourne Airport,Melbourne Airport,Melbourne Airport,Melbourne Airport,186,95,134,1466,active,,
734,"Melbourne, Braybrook","Melbourne, Braybrook","Melbourne, Braybrook","Melbourne, Braybrook",186,95,,,active,,
735,"Melbourne, Somerton","Melbourne, Somerton","Melbourne, Somerton","Melbourne, Somerton",186,95,,,active,,
736,"Melbourne, South Yarra","Melbourne, South Yarra","Melbourne, South Yarra","Melbourne, South Yarra",186,95,134,1466,active,,
737,"Melbourne, St. Kilda","Melbourne, St. Kilda","Melbourne, St. Kilda","Melbourne, St. Kilda",186,95,,,active,,
738,"Melbourne, Tullamarine","Melbourne, Tullamarine","Melbourne, Tullamarine","Melbourne, Tullamarine",186,95,,,active,,
739,Mendoza,Mendoza,Mendoza,Abel Tasman National Park,169,,158,1474,active,,3811
740,Mendoza 5500,Mendoza 5500,Mendoza 5500,Mendoza 5500,169,,,1474,active,,
741,Meru Nationalpark,Meru Nationalpark,Meru Nationalpark,Meru Nationalpark,17,,,1482,active,,
742,"Metung, Nungurner","Metung, Nungurner","Metung, Nungurner","Metung, Nungurner",186,95,134,1487,active,,
743,Mexico-City,Mexico City,Mexico City,Mexico City,166,,82,,active,,121953
744,Mhlambanyatsi,Mhlambanyatsi,Mhlambanyatsi,Mhlambanyatsi,37,14,29,632,active,,
745,Miami,Miami,Miami,Miami,184,16,,1493,active,,121449
746,Middleton,Middleton,Middleton,Middleton,186,77,131,2708,active,,
747,"Midrand, Johannesburg","Midrand, Johannesburg","Midrand, Johannesburg","Midrand, Johannesburg",37,18,,,active,,
748,"Midrand, Johannesburg (Midway Business Park)","Midrand, Johannesburg (Midway Business Park)","Midrand, Johannesburg (Midway Business Park)","Midrand, Johannesburg (Midway Business Park)",28,,,,active,,
749,Mildura,Mildura,Mildura,Mildura,186,95,134,1498,active,,82189
750,"Mile End South, Adelaide","Mile End South, Adelaide","Mile End South, Adelaide","Mile End South, Adelaide",186,77,,,active,,
751,Te Anau,Milford Sound,Milford Sound,Te Anau,188,,,,active,,3492
752,Milne Bay,Milne Bay,Milne Bay,Milne Bay,198,,,,active,,
753,,Minneapolis,,,,,,,active,,121727
754,Mirabel,Mirabel,Mirabel,Mirabel,182,62,,,active,,
755,"Miraflores, Lima","Miraflores, Lima","Miraflores, Lima","Miraflores, Lima",178,,,1272,active,,
756,Miranda,Miranda,Miranda,Miranda,171,,15,323,active,,
757,Mission Beach,Mission Beach,Mission Beach,Mission Beach,186,63,130,1509,active,,
758,Mitsio Archipel,Mitsio Archipel,Mitsio Archipel,Mitsio Archipel,22,,,1512,active,,
759,Mkambati Nature Reserve,Mkambati Nature Reserve,Mkambati Nature Reserve,Mkambati Nature Reserve,37,,39,2710,active,,
760,Mkuze,Mkuze,Mkuze,Mkuze,37,33,169,1515,active,,
761,Moerai,Moerai,Moerai,Moerai,192,69,36,2086,active,,
762,Mombasa,Mombasa,Mombasa,Mombasa,17,,,1523,active,,3533
763,Mombasa Südküste,Mombasa Südküste,Mombasa Südküste,Mombasa Südküste,17,,,1523,active,,
764,Momi Bay,Momi Bay,Momi Bay,Momi Bay,191,96,154,2554,active,,
765,Mon Choisy,Mon Choisy,Mon Choisy,Mon Choisy,51,,95,1449,active,,
766,,Monkey Mia Flughafen,Monkey Mia Flughafen,Denham,186,,,,active,,121867
767,Mont Choisy,Mont Choisy,Mont Choisy,Mont Choisy,51,,95,1449,active,,
768,"Mont Choisy, Pamplemousses","Mont Choisy, Pamplemousses","Mont Choisy, Pamplemousses","Mont Choisy, Pamplemousses",51,,91,1449,active,,
769,Montagu,Montagu,Montagu,Montagu,37,99,132,1532,active,,
770,,Montreal,,,182,,,,active,,121462
771,Montville,Montville,Montville,Montville,186,63,130,1545,active,,
772,Mooloolaba,Mooloolaba,Mooloolaba,Mooloolaba,186,63,130,2326,active,,
773,Moorea,Moorea,Moorea,Moorea,192,,,1548,active,,3502
774,Moremi Game Reserve,Moremi Game Reserve,Moremi Game Reserve,Moremi Game Reserve,5,,85,1549,active,,
775,Morro de Sao Paulo,Morro de Sao Paulo,Morro de Sao Paulo,Morro de Sao Paulo,171,,,1556,active,,
776,"Morro de São Paulo, Bahia","Morro de São Paulo, Bahia","Morro de São Paulo, Bahia","Morro de São Paulo, Bahia",171,,15,1556,active,,
777,Mossel Bay,Mossel Bay,Mossel Bay,Mossel Bay,37,99,39,1559,active,,
778,Mossman,Mossman,Mossman,Mossman,186,63,150,1560,active,,
779,Motu Omee,Motu Omee,Motu Omee,Motu Omee,192,6,14,243,active,,
780,Motu Tape,Motu Tape,Motu Tape,Motu Tape,192,6,14,243,active,,
781,Motu Tautau,Motu Tautau,Motu Tautau,Motu Tautau,192,82,143,2346,active,,
782,Motu Tehotu,Motu Tehotu,Motu Tehotu,Motu Tehotu,192,6,14,,active,,
783,Motu Ute,Motu Ute,Motu Ute,Motu Ute,192,,14,243,active,,
784,Motueka,Motueka,Motueka,Motueka,188,81,1,6,active,,
