id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
25,"Barossa Valley, Tanunda","Barossa Valley, Tanunda","Barossa Valley, Tanunda","Barossa Valley, Tanunda",,6,5,20,,
26,"Batchelor, Litchfield NP","Batchelor, Litchfield NP","Batchelor, Litchfield NP","Batchelor, Litchfield NP",,6,3,25,,
27,Brisbane,Brisbane,Brisbane,Brisbane,267,6,4,19,51,3337
28,Broome,Broome,Broome,Broome,272,6,8,27,51,3331
29,"Broome, Yardoogarra","Broome, Yardoogarra","Broome, Yardoogarra","Broome, Yardoogarra",,6,8,23,,
30,"Bundaberg, Sharon","Bundaberg, Sharon","Bundaberg, Sharon","Bundaberg, Sharon",,6,4,19,,
31,Busselton,Busselton,Busselton,Busselton,292,6,8,24,51,121852
32,Cairns,Cairns,Cairns,Cairns,305,6,4,26,51,3332
33,"Canberra, Barton","Canberra, Barton","Canberra, Barton","Canberra, Barton",,6,1,5,,
34,Cape Range Nationalpark,Cape Range Nationalpark,Cape Range Nationalpark,Cape Range Nationalpark,,6,8,23,,
35,"Cape Tribulation, Diwan","Cape Tribulation, Diwan","Cape Tribulation, Diwan","Cape Tribulation, Diwan",,6,4,26,,
36,Cervantes,Cervantes,Cervantes,Cervantes,384,6,8,27,,
37,Christmas Island,Christmas Island,Christmas Island,Christmas Island,425,6,,,51,122084
38,Clare,Clare,Clare,Clare,,6,5,20,,
39,Cobbold Gorge (via Forsayth),Cobbold Gorge (via Forsayth),Cobbold Gorge (via Forsayth),Cobbold Gorge (via Forsayth),,6,4,15,,
40,Coffs Harbour,Coffs Harbour,Coffs Harbour,Coffs Harbour,453,6,2,17,,
41,Coles Bay,Coles Bay,Coles Bay,Coles Bay,,6,6,8,,
42,Coober Pedy,Coober Pedy,Coober Pedy,Coober Pedy,466,6,5,20,51,115752
43,Cooktown,Cooktown,Cooktown,Cooktown,467,6,4,26,,
44,"Cooktown, Helenvale","Cooktown, Helenvale","Cooktown, Helenvale","Cooktown, Helenvale",,6,4,26,,
45,Coral Bay,Coral Bay,Coral Bay,Coral Bay,473,6,8,27,51,3356
46,"Corlette, Port Stephens","Corlette, Port Stephens","Corlette, Port Stephens","Corlette, Port Stephens",,6,2,17,,
47,Cradle Mountain Nationalpark,Cradle Mountain Nationalpark,Cradle Mountain Nationalpark,Cradle Mountain Nationalpark,,6,6,6,,
