id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
75,"Kakadu Nationalpark, Jabiru","Kakadu Nationalpark, Jabiru","Kakadu Nationalpark, Jabiru","Kakadu Nationalpark, Jabiru",,13,3,25,,
76,Kalbarri,Kalbarri,Kalbarri,Kalbarri,1010,13,8,27,,
77,Kalgoorlie,Kalgoorlie,Kalgoorlie,Kalgoorlie,1011,13,8,24,,
78,Kangaroo Island,Kangaroo Island,Kangaroo Island,Kangaroo Island,1027,13,5,12,,
79,"Kangaroo Island, Cape Willoughby","Kangaroo Island, Cape Willoughby","Kangaroo Island, Cape Willoughby","Kangaroo Island, Cape Willoughby",,13,5,12,,
80,"Kangaroo Island, Hanson Bay","Kangaroo Island, Hanson Bay","Kangaroo Island, Hanson Bay","Kangaroo Island, Hanson Bay",,13,5,12,,
81,"Kangaroo Island, Kingscote","Kangaroo Island, Kingscote","Kangaroo Island, Kingscote","Kangaroo Island, Kingscote",,13,5,12,,
82,"Kangaroo Island, Penneshaw","Kangaroo Island, Penneshaw","Kangaroo Island, Penneshaw","Kangaroo Island, Penneshaw",,13,5,12,,
83,Karijini Nationalpark,Karijini Nationalpark,Karijini Nationalpark,Karijini Nationalpark,1036,13,8,23,,
84,Katherine,Katherine,Katherine,Katherine,1047,13,3,25,51,3343
85,"Katherine, Nitmiluk Nationalpark","Katherine, Nitmiluk Nationalpark","Katherine, Nitmiluk Nationalpark","Katherine, Nitmiluk Nationalpark",,13,3,25,,
86,Kimberleys,Kimberleys,Kimberleys,Kimberleys,,13,8,13,,
87,King Leopold Ranges,King Leopold Ranges,King Leopold Ranges,King Leopold Ranges,,13,8,13,,
88,Kings Canyon,Kings Canyon,Kings Canyon,Kings Canyon,1096,13,3,16,,
89,Kukerin,Kukerin,Kukerin,Kukerin,,13,8,24,,
90,Kununurra,Kununurra,Kununurra,Kununurra,1157,13,8,13,51,3344
91,Lady Elliot Island,Lady Elliot Island,Lady Elliot Island,Lady Elliot Island,1186,13,4,10,,
92,Lakes Entrance,Lakes Entrance,Lakes Entrance,Lakes Entrance,1214,13,7,11,,
93,Lamington Nationalpark,Lamington Nationalpark,Lamington Nationalpark,Lamington Nationalpark,1219,13,4,19,,
94,Launceston,Launceston,Launceston,Launceston,1238,13,6,21,51,3341
95,"Litchfield Nationalpark, Rakula","Litchfield Nationalpark, Rakula","Litchfield Nationalpark, Rakula","Litchfield Nationalpark, Rakula",,13,3,25,,
96,Lizard Island,Lizard Island,Lizard Island,Lizard Island,1285,13,4,10,,
97,Long Island,Long Island,Long Island,Long Island,1291,13,4,10,,
98,Lord Howe Island,Lord Howe Island,Lord Howe Island,Lord Howe Island,1299,13,2,14,,
99,Magnetic Island,Magnetic Island,Magnetic Island,Magnetic Island,1340,13,4,19,51,122133
100,"Magnetic Island, Nelly Bay","Magnetic Island, Nelly Bay","Magnetic Island, Nelly Bay","Magnetic Island, Nelly Bay",,13,4,10,,
101,Maleny,Maleny,Maleny,Maleny,1363,13,4,19,,
102,Margaret River,Margaret River,Margaret River,Margaret River,1402,13,8,24,51,121338
103,"Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach",,13,8,24,,
104,Mary River Conservation Reserve,Mary River Conservation Reserve,Mary River Conservation Reserve,Mary River Conservation Reserve,,13,3,25,,
105,McLaren Flat,McLaren Flat,McLaren Flat,McLaren Flat,,13,5,20,,
106,Melbourne,Melbourne,Melbourne,Melbourne,1466,13,7,22,51,3334
107,Melbourne Airport,Melbourne Airport,Melbourne Airport,Melbourne Airport,,13,7,22,34,51478
108,Mission Beach,Mission Beach,Mission Beach,Mission Beach,1509,13,4,19,51,84127
109,Mitchell Plateau,Mitchell Plateau,Mitchell Plateau,Mitchell Plateau,,13,8,13,,
110,Montville,Montville,Montville,Montville,1545,13,4,19,,
111,Mooloolaba,Mooloolaba,Mooloolaba,Mooloolaba,,13,4,19,,
112,Mossman,Mossman,Mossman,Mossman,1560,13,4,26,,
113,Mount Elizabeth,Mount Elizabeth,Mount Elizabeth,Mount Elizabeth,1565,13,8,13,,
114,Mount Mulligan,Mount Mulligan,Mount Mulligan,Mount Mulligan,1574,13,4,15,,
115,"Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland",,13,3,25,,
116,Mungo National Park,Mungo National Park,Mungo National Park,Mungo National Park,,13,2,17,,
117,Naracoorte,Naracoorte,Naracoorte,Naracoorte,1633,13,5,20,,
118,"Noosa, Elanda Point","Noosa, Elanda Point","Noosa, Elanda Point","Noosa, Elanda Point",,13,4,19,,
119,"Noosa, Tewantin","Noosa, Tewantin","Noosa, Tewantin","Noosa, Tewantin",,13,4,19,,
120,Oak Beach near Port Douglas,Oak Beach near Port Douglas,Oak Beach near Port Douglas,Oak Beach near Port Douglas,,13,4,26,,
121,Palm Cove,Palm Cove,Palm Cove,Palm Cove,,13,4,26,51,5906
122,Paynesville,Paynesville,Paynesville,Paynesville,1836,13,7,22,,
123,Pemberton,Pemberton,Pemberton,Pemberton,1842,13,8,24,,
124,Perth,Perth,Perth,Perth,1854,13,8,23,51,3335
125,"Perth, Belmont (Airport)","Perth, Belmont (Airport)","Perth, Belmont (Airport)","Perth, Belmont (Airport)",,13,8,23,,
126,"Perth, Scarborough","Perth, Scarborough","Perth, Scarborough","Perth, Scarborough",,13,8,23,,
127,Pokolbin,Pokolbin,Pokolbin,Pokolbin,,13,2,17,,
128,Port Arthur,Port Arthur,Port Arthur,Port Arthur,1911,13,6,21,,
129,Port Augusta,Port Augusta,Port Augusta,Port Augusta,1912,13,5,20,,
130,Port Campbell,Port Campbell,Port Campbell,Port Campbell,1916,13,7,11,,
131,Port Douglas,Port Douglas,Port Douglas,Port Douglas,1917,13,4,26,51,3349
132,Port Fairy,Port Fairy,Port Fairy,Port Fairy,1921,13,7,11,,
133,Port Lincoln,Port Lincoln,Port Lincoln,Port Lincoln,1925,13,5,20,51,6211
134,Port Macquarie,Port Macquarie,Port Macquarie,Port Macquarie,1926,13,2,17,,
135,Purnululu Nationalpark,Purnululu Nationalpark,Purnululu Nationalpark,Purnululu Nationalpark,,13,8,13,,
136,Rainbow Beach,Rainbow Beach,Rainbow Beach,Rainbow Beach,2018,13,4,19,51,37129
137,Rawnsley Park,Rawnsley Park,Rawnsley Park,Rawnsley Park,,13,5,7,,
138,Robe,Robe,Robe,Robe,2061,13,5,20,,
139,Rottnest Island,Rottnest Island,Rottnest Island,Rottnest Island,2081,13,8,23,,
140,Shark Bay,Shark Bay,Shark Bay,Shark Bay,,13,8,27,,
141,St. Helens,St. Helens,St. Helens,St. Helens,2288,13,6,21,,
142,Strahan,Strahan,Strahan,Strahan,2311,13,6,21,51,5904
143,Sydney,Sydney,Sydney,Sydney,2336,13,2,17,51,3330
144,Sydney Airport,Sydney Airport,Sydney Airport,Sydney Airport,,13,2,17,34,51473
145,Tennant Creek,Tennant Creek,Tennant Creek,Tennant Creek,2397,13,3,18,,
146,The Caves (north of Rockhampton),The Caves (north of Rockhampton),The Caves (north of Rockhampton),The Caves (north of Rockhampton),,13,4,19,,
